pid;Bedroom;FullBath;HalfBath;Exter Cond;Exter Qual;Heating QC;Kitchen Qual;MS Zoning;pid_1;Roof Style;Roof Matl;Exterior 1st;Exterior 2nd;Mas Vnr Type;Mas Vnr Area;foundation;heating;Central Air;electrical;1st Flr SF;2nd Flr SF;Low Qual Fin SF;Kitchen AbvGr;TotRms AbvGrd;functional;fireplaces;Fireplace Qu;Paved Drive;Wood Deck SF;Open Porch SF;Enclosed Porch;3Ssn Porch;Screen Porch;fence;MS SubClass;Gr Liv Area;description;code;id;description_1;code_1;pid_1_1;Sale Date;Sale Type;Sale Condition;saleprice
526301100;3;1;0;3;3;4;3;6;526301100;Hip    ;CompShg;BrkFace;Plywood;Stone  ;112;CBlock;GasA ;Y;SBrkr;1656;0;0;1;7;Typ ;2;Gd;P;210;62;0;0;0;NA   ;20;1656;;;6;Residential Low Density      ;RL     ;526301100;2010/05/23 00:00:00.000000000;WD   ;Normal ;215000
526302030;2;2;0;3;3;2;3;6;526302030;Hip    ;CompShg;Wd Sdng;Wd Sdng;Stone  ;28;CBlock;GasA ;Y;SBrkr;1293;0;0;1;5;Typ ;0;NA;Y;280;0;0;0;0;NA   ;20;1293;;;6;Residential Low Density      ;RL     ;526302030;2006/05/21 00:00:00.000000000;WD   ;Normal ;149900
526302040;2;1;0;2;3;3;2;6;526302040;Hip    ;CompShg;VinylSd;VinylSd;BrkFace;244;CBlock;GasA ;Y;SBrkr;1024;0;0;1;5;Typ ;2;TA;Y;0;0;0;0;280;NA   ;20;1024;;;6;Residential Low Density      ;RL     ;526302040;2006/08/24 00:00:00.000000000;WD   ;Normal ;157500
526302110;2;1;0;3;3;3;3;6;526302110;Gable  ;CompShg;MetalSd;MetalSd;None   ;0;CBlock;GasA ;Y;SBrkr;882;0;0;1;5;Typ ;0;NA;Y;0;0;0;0;0;NA   ;20;882;;;6;Residential Low Density      ;RL     ;526302110;2009/10/25 00:00:00.000000000;WD   ;Normal ;124500
526302120;3;1;1;3;3;4;3;6;526302120;Gable  ;CompShg;Wd Sdng;Wd Sdng;Stone  ;302;CBlock;GasA ;Y;SBrkr;1797;0;0;1;7;Typ ;1;TA;Y;0;0;0;0;0;NA   ;20;1797;;;6;Residential Low Density      ;RL     ;526302120;2006/06/17 00:00:00.000000000;WD   ;Normal ;169000
526303060;1;1;1;3;3;1;1;6;526303060;Gable  ;CompShg;Wd Sdng;Wd Sdng;Stone  ;902;CBlock;GasA ;Y;SBrkr;1390;0;0;1;4;Min1;2;Gd;Y;0;189;0;0;0;NA   ;20;1390;;;6;Residential Low Density      ;RL     ;526303060;2006/10/26 00:00:00.000000000;WD   ;Abnorml;252000
526350040;2;1;0;3;3;3;3;5;526350040;Gable  ;CompShg;VinylSd;VinylSd;None   ;0;CBlock;GasA ;Y;SBrkr;896;0;0;1;5;Typ ;0;NA;Y;140;0;0;0;120;MnPrv;20;896;;;5;Residential High Density     ;RH     ;526350040;2010/06/10 00:00:00.000000000;WD   ;Normal ;105000
526351010;3;1;1;3;3;3;2;6;526351010;Hip    ;CompShg;Wd Sdng;Wd Sdng;BrkFace;108;CBlock;GasA ;Y;SBrkr;1329;0;0;1;6;Typ ;0;NA;Y;393;36;0;0;0;NA   ;20;1329;;;6;Residential Low Density      ;RL     ;526351010;2010/06/19 00:00:00.000000000;WD   ;Normal ;172000
526351030;3;1;0;3;1;1;3;6;526351030;Hip    ;CompShg;MetalSd;MetalSd;None   ;0;CBlock;GasA ;Y;SBrkr;1414;0;0;1;6;Min1;1;TA;Y;0;51;0;0;190;NA   ;20;1414;;;6;Residential Low Density      ;RL     ;526351030;2008/05/21 00:00:00.000000000;WD   ;Normal ;176500
526351100;4;2;0;3;3;3;3;6;526351100;Hip    ;CompShg;Plywood;Plywood;BrkFace;440;CBlock;GasA ;Y;SBrkr;1434;0;0;1;7;Typ ;1;Gd;Y;80;21;0;0;0;NA   ;20;1434;;;6;Residential Low Density      ;RL     ;526351100;2009/06/15 00:00:00.000000000;WD   ;Normal ;157000
526352080;3;2;0;3;3;3;3;6;526352080;Gable  ;CompShg;MetalSd;MetalSd;BrkFace;302;CBlock;GasA ;Y;SBrkr;1587;0;0;1;7;Typ ;1;Gd;Y;0;44;0;0;0;NA   ;20;1587;;;6;Residential Low Density      ;RL     ;526352080;2007/03/27 00:00:00.000000000;WD   ;Normal ;167300
526352090;2;1;0;2;3;3;3;6;526352090;Flat   ;Tar&Grv;Plywood;Plywood;None   ;0;CBlock;GasA ;Y;SBrkr;1277;0;0;1;5;Typ ;1;Po;Y;0;0;0;0;176;GdWo ;20;1277;;;6;Residential Low Density      ;RL     ;526352090;2007/04/19 00:00:00.000000000;WD   ;Normal ;167000
526353030;3;2;1;3;2;1;1;6;526353030;Hip    ;CompShg;BrkFace;BrkFace;None   ;0;CBlock;GasA ;Y;SBrkr;2110;0;0;1;8;Typ ;2;TA;Y;0;0;0;0;0;NA   ;20;2110;;;6;Residential Low Density      ;RL     ;526353030;2010/04/13 00:00:00.000000000;WD   ;Normal ;244000
526353050;4;2;1;3;3;1;3;6;526353050;Gable  ;CompShg;BrkFace;Plywood;None   ;0;CBlock;GasA ;Y;SBrkr;2117;0;0;1;7;Typ ;2;Gd;Y;0;42;0;0;0;NA   ;20;2117;;;6;Residential Low Density      ;RL     ;526353050;2008/05/24 00:00:00.000000000;WD   ;Normal ;237500
526354020;3;2;0;2;3;2;3;6;526354020;Gable  ;CompShg;HdBoard;HdBoard;BrkFace;434;CBlock;GasA ;Y;SBrkr;1851;0;0;1;8;Typ ;1;TA;Y;0;146;0;0;0;NA   ;20;1851;;;6;Residential Low Density      ;RL     ;526354020;2006/03/12 00:00:00.000000000;WD   ;Normal ;192100
526354070;4;2;1;3;3;3;3;6;526354070;Gable  ;CompShg;HdBoard;HdBoard;None   ;0;CBlock;GasA ;Y;SBrkr;1092;1020;0;1;9;Typ ;2;Gd;Y;280;0;0;0;0;NA   ;60;2112;;;6;Residential Low Density      ;RL     ;526354070;2008/06/25 00:00:00.000000000;WD   ;Normal ;206900
526355080;4;2;1;3;2;2;1;6;526355080;Gable  ;CompShg;Plywood;Wd Sdng;None   ;0;CBlock;GasA ;Y;SBrkr;2000;704;0;1;9;Typ ;3;TA;Y;269;111;0;0;0;MnPrv;80;2704;;;6;Residential Low Density      ;RL     ;526355080;2009/07/19 00:00:00.000000000;WD   ;Normal ;345000
526355170;3;2;0;2;3;1;3;6;526355170;Gable  ;CompShg;Plywood;Plywood;BrkFace;1115;CBlock;GasA ;Y;SBrkr;2223;0;0;1;8;Typ ;2;Gd;Y;300;0;0;0;0;NA   ;20;2223;;;6;Residential Low Density      ;RL     ;526355170;2007/02/20 00:00:00.000000000;WD   ;Normal ;244000
526355190;4;2;0;2;2;1;2;6;526355190;Flat   ;Tar&Grv;Wd Sdng;Wd Sdng;None   ;0;PConc ;GasA ;Y;SBrkr;2217;0;0;1;8;Typ ;1;TA;Y;81;207;0;0;224;NA   ;20;2217;;;6;Residential Low Density      ;RL     ;526355190;2007/10/15 00:00:00.000000000;WD   ;Normal ;268000
527105010;3;2;1;3;3;2;3;6;527105010;Gable  ;CompShg;VinylSd;VinylSd;None   ;0;PConc ;GasA ;Y;SBrkr;928;701;0;1;6;Typ ;1;TA;Y;212;34;0;0;0;MnPrv;60;1629;;;6;Residential Low Density      ;RL     ;527105010;2010/03/16 00:00:00.000000000;WD   ;Normal ;189900
527105030;3;2;1;3;3;1;2;6;527105030;Gable  ;CompShg;VinylSd;VinylSd;BrkFace;20;PConc ;GasA ;Y;SBrkr;926;678;0;1;7;Typ ;1;Gd;Y;360;36;0;0;0;NA   ;60;1604;;;6;Residential Low Density      ;RL     ;527105030;2010/06/23 00:00:00.000000000;WD   ;Normal ;195500
527105050;3;2;1;3;3;1;3;6;527105050;Gable  ;CompShg;VinylSd;VinylSd;None   ;0;PConc ;GasA ;Y;SBrkr;926;678;0;1;7;Typ ;1;TA;Y;0;36;0;0;0;NA   ;60;1604;;;6;Residential Low Density      ;RL     ;527105050;2008/04/23 00:00:00.000000000;WD   ;Normal ;187500
527105060;3;2;1;3;3;1;3;6;527105060;Gable  ;CompShg;VinylSd;VinylSd;None   ;0;PConc ;GasA ;Y;SBrkr;813;712;0;1;6;Typ ;1;TA;Y;421;72;0;0;0;NA   ;60;1525;;;6;Residential Low Density      ;RL     ;527105060;2006/05/25 00:00:00.000000000;WD   ;Normal ;183500
527105070;3;2;1;3;3;1;3;6;527105070;Gable  ;CompShg;VinylSd;VinylSd;None   ;0;PConc ;GasA ;Y;SBrkr;945;663;0;1;7;Typ ;1;TA;Y;252;30;0;0;0;NA   ;60;1608;;;6;Residential Low Density      ;RL     ;527105070;2009/07/16 00:00:00.000000000;WD   ;Normal ;189500
527105130;4;2;1;3;2;1;2;6;527105130;Gable  ;CompShg;VinylSd;VinylSd;BrkFace;188;PConc ;GasA ;Y;SBrkr;1008;1275;0;1;9;Typ ;1;Gd;Y;120;46;0;0;0;NA   ;60;2283;;;6;Residential Low Density      ;RL     ;527105130;2009/08/26 00:00:00.000000000;WD   ;Normal ;270000
527105140;3;2;1;3;2;1;2;6;527105140;Gable  ;CompShg;VinylSd;VinylSd;None   ;0;PConc ;GasA ;Y;SBrkr;847;886;0;1;7;Typ ;1;Gd;Y;100;48;0;0;0;NA   ;60;1733;;;6;Residential Low Density      ;RL     ;527105140;2007/10/17 00:00:00.000000000;WD   ;Family ;225000
527106010;4;2;1;3;3;2;2;6;527106010;Gable  ;CompShg;HdBoard;HdBoard;BrkFace;285;PConc ;GasA ;Y;SBrkr;993;1243;0;1;8;Typ ;1;TA;Y;0;0;0;0;0;NA   ;60;2236;;;6;Residential Low Density      ;RL     ;527106010;2006/11/22 00:00:00.000000000;WD   ;Normal ;222000
527106050;3;2;1;3;3;2;3;6;527106050;Gable  ;CompShg;VinylSd;VinylSd;BrkFace;119;PConc ;GasA ;Y;SBrkr;680;790;0;1;7;Typ ;1;TA;Y;192;49;0;0;0;NA   ;60;1470;;;6;Residential Low Density      ;RL     ;527106050;2008/10/17 00:00:00.000000000;WD   ;Normal ;165000
527106140;3;2;1;3;3;1;3;6;527106140;Gable  ;CompShg;VinylSd;VinylSd;None   ;0;PConc ;GasA ;Y;SBrkr;926;678;0;1;7;Typ ;0;NA;Y;100;82;0;0;0;NA   ;60;1604;;;6;Residential Low Density      ;RL     ;527106140;2008/05/28 00:00:00.000000000;WD   ;Normal ;195500
527106150;3;2;1;3;3;2;3;6;527106150;Gable  ;CompShg;VinylSd;VinylSd;None   ;0;PConc ;GasA ;Y;SBrkr;943;695;0;1;7;Typ ;2;TA;Y;100;38;0;0;0;NA   ;60;1638;;;6;Residential Low Density      ;RL     ;527106150;2008/07/21 00:00:00.000000000;WD   ;Normal ;192000
527107010;3;2;1;3;3;2;3;6;527107010;Gable  ;CompShg;HdBoard;HdBoard;None   ;0;PConc ;GasA ;Y;SBrkr;916;720;0;1;7;Typ ;1;TA;Y;168;84;0;0;0;NA   ;60;1636;;;6;Residential Low Density      ;RL     ;527107010;2008/11/22 00:00:00.000000000;WD   ;Normal ;173000
527107020;3;2;1;3;3;2;3;6;527107020;Gable  ;CompShg;HdBoard;HdBoard;None   ;0;PConc ;GasA ;Y;SBrkr;781;890;0;1;7;Typ ;1;TA;Y;0;84;0;0;0;NA   ;60;1671;;;6;Residential Low Density      ;RL     ;527107020;2006/02/27 00:00:00.000000000;WD   ;Normal ;170000
527107030;3;2;1;3;3;2;3;6;527107030;Gable  ;CompShg;HdBoard;HdBoard;None   ;0;PConc ;GasA ;Y;SBrkr;691;807;0;1;6;Typ ;1;TA;Y;315;44;0;0;0;NA   ;60;1498;;;6;Residential Low Density      ;RL     ;527107030;2006/07/20 00:00:00.000000000;WD   ;Normal ;187500
527107040;3;2;1;3;3;2;3;6;527107040;Gable  ;CompShg;MetalSd;MetalSd;None   ;0;PConc ;GasA ;Y;SBrkr;806;766;0;1;7;Typ ;1;TA;Y;0;40;0;0;0;NA   ;60;1572;;;6;Residential Low Density      ;RL     ;527107040;2007/05/17 00:00:00.000000000;WD   ;Normal ;168000
527107090;3;2;0;3;2;2;2;6;527107090;Gable  ;CompShg;HdBoard;HdBoard;None   ;0;PConc ;GasA ;Y;SBrkr;1384;0;0;1;7;Typ ;0;NA;Y;0;39;0;0;0;NA   ;20;1384;;;6;Residential Low Density      ;RL     ;527107090;2008/11/24 00:00:00.000000000;WD   ;Normal ;177900
527107120;3;2;1;3;3;2;3;6;527107120;Gable  ;CompShg;HdBoard;HdBoard;None   ;0;PConc ;GasA ;Y;SBrkr;821;955;0;1;7;Typ ;1;TA;Y;286;116;0;0;0;NA   ;60;1776;;;6;Residential Low Density      ;RL     ;527107120;2006/05/22 00:00:00.000000000;WD   ;Normal ;202000
527107130;3;2;1;3;3;2;3;6;527107130;Gable  ;CompShg;HdBoard;HdBoard;BrkFace;32;PConc ;GasA ;Y;SBrkr;958;670;0;1;7;Typ ;1;TA;Y;48;72;0;0;0;NA   ;80;1628;;;6;Residential Low Density      ;RL     ;527107130;2009/06/25 00:00:00.000000000;WD   ;Normal ;189000
527107210;3;2;1;3;3;1;3;6;527107210;Gable  ;CompShg;HdBoard;HdBoard;None   ;0;PConc ;GasA ;Y;SBrkr;729;717;0;1;6;Typ ;1;TA;Y;264;22;0;0;0;NA   ;60;1446;;;6;Residential Low Density      ;RL     ;527107210;2008/08/15 00:00:00.000000000;WD   ;Normal ;175000
527107240;3;2;1;3;3;2;3;6;527107240;Gable  ;CompShg;VinylSd;VinylSd;None   ;0;PConc ;GasA ;Y;SBrkr;802;709;0;1;8;Typ ;1;TA;Y;95;75;0;0;0;NA   ;60;1511;;;6;Residential Low Density      ;RL     ;527107240;2006/06/15 00:00:00.000000000;WD   ;Normal ;185000
527108010;4;2;1;3;2;1;2;6;527108010;Gable  ;CompShg;VinylSd;VinylSd;BrkFace;456;PConc ;GasA ;Y;SBrkr;1392;1070;0;1;9;Typ ;1;Gd;Y;239;132;0;168;0;NA   ;60;2462;;;6;Residential Low Density      ;RL     ;527108010;2006/03/15 00:00:00.000000000;New  ;Partial;320000
527108020;3;2;0;3;2;1;2;6;527108020;Hip    ;CompShg;VinylSd;VinylSd;BrkFace;27;PConc ;GasA ;Y;SBrkr;1670;0;0;1;7;Typ ;1;Gd;Y;144;60;0;0;0;NA   ;20;1670;;;6;Residential Low Density      ;RL     ;527108020;2006/08/14 00:00:00.000000000;New  ;Partial;240000
527108030;4;2;1;3;2;1;2;6;527108030;Gable  ;CompShg;VinylSd;VinylSd;BrkFace;216;PConc ;GasA ;Y;SBrkr;1074;990;0;1;7;Typ ;1;Gd;Y;0;119;0;0;0;NA   ;60;2064;;;6;Residential Low Density      ;RL     ;527108030;2006/01/14 00:00:00.000000000;WD   ;Normal ;250000
527108040;3;2;1;3;2;1;2;6;527108040;Gable  ;CompShg;VinylSd;VinylSd;None   ;0;PConc ;GasA ;Y;SBrkr;901;900;0;1;8;Typ ;1;Gd;Y;0;116;0;0;0;NA   ;60;1801;;;6;Residential Low Density      ;RL     ;527108040;2006/06/23 00:00:00.000000000;WD   ;Normal ;239900
